date,source,source_label,title,url,summary,score,level,priority,relevant,theme,reasons,geography_score,target_score,repression_score,rights_score,journalism_score,geopolitical_score,freshness_score
,Hudson Institute,Think tank · Central Asia,Why a Trans-Caspian Pipeline Deserves Renewed Attention,https://www.hudson.org/central-asia/why-trans-caspian-pipeline-deserves-renewed-attention,The article presents the Trans-Caspian pipeline as a strategic energy corridor linking Central Asia more directly to Europe.,59,B,HAUTE,True,Énergie et connectivité,"Ancrage régional: central asia, caspian, trans-caspian; Sécurité / stratégie; Énergie / connectivité; Compétition entre puissances",19,5,0,0,0,31,0
,Hudson Institute,Think tank · Central Asia,"Mr. Trump, Take the Golden Road to Samarkand",https://www.hudson.org/central-asia/mr-trump-take-golden-road-samarkand,The article argues for direct US engagement in Central Asia to counter Russian and Chinese influence and to use the region's strategic trade routes and resources more effectively.,50,C,MOYENNE,True,Énergie et connectivité,"Ancrage régional: central asia, samarkand; Sécurité / stratégie; Énergie / connectivité; Diplomatie / institutions; Compétition entre puissances",16,3,0,0,5,22,0
,Hudson Institute,Think tank · Central Asia,UN Security Council Race Turns Indo-Pacific vs Eurasia Clash,https://www.hudson.org/central-asia/un-security-council-race-turns-indo-pacific-vs-eurasia-clash,The contest for UN Security Council seats is presented as a broader geopolitical rivalry between Indo-Pacific and Eurasian blocs.,44,C,MOYENNE,True,Diplomatie et institutions,Ancrage régional: eurasia; Sécurité / stratégie; Diplomatie / institutions; Compétition entre puissances,13,8,0,0,17,4,0
,Hudson Institute,Think tank · Central Asia,Azerbaijan and Ukraine: A Deepening Partnership,https://www.hudson.org/central-asia/azerbaijan-and-ukraine-a-deepening-partnership,"Azerbaijan and Ukraine are strengthening their energy, economic, and diplomatic ties, with implications for Eurasian alignments.",43,C,MOYENNE,True,Diplomatie et institutions,"Ancrage régional: caspian, eurasia; Sécurité / stratégie; Énergie / connectivité; Diplomatie / institutions; Compétition entre puissances",16,5,0,0,12,8,0
,Hudson Institute,Think tank · Central Asia,"Kazakhstan, the World's Most Important Hedger, Bets on Stability",https://www.hudson.org/central-asia/kazakhstan-worlds-most-important-hedger-bets-stability,Kazakhstan uses a balanced foreign policy between major powers to preserve stability and room for maneuver.,39,C,MOYENNE,True,Sécurité régionale,"Ancrage régional: kazakhstan, eurasia; Sécurité / stratégie; Diplomatie / institutions; Compétition entre puissances",16,8,0,0,5,8,0
,Hudson Institute,Think tank · Central Asia,"To Deter China from Invading Taiwan, Trump Must Exploit Beijing's Pressure Points",https://www.hudson.org/central-asia/deter-china-invading-taiwan-trump-exploit-beijing-pressure-points,"The piece argues that US strategy toward Taiwan should make greater use of Chinese vulnerabilities, including those tied to Eurasia.",39,C,MOYENNE,True,Compétition géopolitique,Ancrage régional: eurasia; Sécurité / stratégie; Compétition entre puissances,13,8,0,0,0,14,0
,Hudson Institute,Think tank · Central Asia,Caspian Sea Security,https://www.hudson.org/central-asia/caspian-sea-security,"The article reviews military activity, energy competition, and regional security dynamics in the Caspian basin.",38,C,MOYENNE,True,Sécurité régionale,"Ancrage régional: central asia, caspian; Sécurité / stratégie; Énergie / connectivité",16,15,0,0,0,5,0
,Hudson Institute,Think tank · Central Asia,Central Asia Is Increasingly Looking Beyond Iran,https://www.hudson.org/foreign-policy/central-asia-increasingly-looking-beyond-iran-ken-moriyasu,"Central Asian states are exploring routes and partnerships beyond Iran, including links through Pakistan, Afghanistan, and China.",37,C,MOYENNE,True,Énergie et connectivité,"Ancrage régional: central asia, central asian; Énergie / connectivité; Diplomatie / institutions; Compétition entre puissances",16,0,0,0,5,16,0
,Hudson Institute,Think tank · Central Asia,"A Bureau of Mackinder, a Bureau of Mahan: Why the State Department's Org Chart Needs an Update",https://www.hudson.org/central-asia/bureau-mackinder-bureau-mahan-state-departments-org-chart-update,The article proposes reorganizing US diplomacy around landpower and maritime strategy to match current geopolitical realities.,34,D,FAIBLE,False,Diplomatie et institutions,Ancrage régional: eurasia; Sécurité / stratégie; Diplomatie / institutions; Compétition entre puissances,13,3,0,0,14,2,0
,Hudson Institute,Think tank · Central Asia,Kyrgyzstan's UN Upset Signals Eurasia's Quiet Rise,https://www.hudson.org/central-asia/kyrgyzstans-un-upset-signals-eurasias-quiet-rise,Kyrgyzstan's diplomatic success at the United Nations is framed as evidence of growing Eurasian influence.,34,D,FAIBLE,False,Diplomatie et institutions,"Ancrage régional: kyrgyzstan, eurasia; Diplomatie / institutions",16,0,0,0,16,0,0
